# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_com_aroma_ring[1] c_com_aroma_ring[2] c_com_aroma_ring[3]
6000 12
6 -18.6087 21.502 42.2144
7 15.4401 -16.8059 -20.6331
8 -23.2585 -34.3657 -20.6326
9 -31.0223 23.0204 -20.7348
10 -19.6832 -15.1169 11.4222
11 -2.65423 7.00209 -20.896
12 33.3668 7.7711 11.4494
186000 12
1 14.2298 22.2351 -20.8361
2 3.64846 -10.0782 -20.2482
3 -19.1988 21.0029 -20.4819
4 -3.25351 -14.3073 11.6174
5 -0.0424858 21.8951 11.4854
6 -18.6257 21.6541 42.5507
7 15.2899 -16.4864 -20.7413
8 -22.868 -35.0554 -20.8848
9 -31.1407 22.5606 -20.8175
10 -20.4387 -15.0001 11.454
11 -2.30702 6.56314 -21.0022
12 34.2725 7.50597 11.4994
192000 12
1 13.9863 22.0726 -20.6605
2 3.42249 -9.52564 -20.4348
3 -19.7391 20.3538 -20.777
4 -3.5979 -13.8695 11.3979
5 -0.18244 23.4111 11.4093
6 -19.1141 20.8753 42.3158
7 16.1576 -15.8862 -20.7416
8 -23.8351 -35.017 -20.8538
9 -31.345 22.3164 -20.7024
10 -21.0394 -15.1515 11.2916
11 -1.93283 6.49965 -20.6636
12 35.0035 7.22364 11.642
198000 12
1 13.6632 22.3141 -20.9315
2 3.25409 -8.63538 -20.7977
3 -19.8638 19.7876 -20.7524
4 -4.29391 -14.1205 11.127
5 -0.102865 23.7118 11.4267
6 -19.1311 20.3639 42.3019
7 15.9162 -15.8572 -20.4336
8 -24.8459 -35.0585 -20.6731
9 -31.7024 22.651 -20.9122
10 -20.2282 -15.437 11.424
11 -2.08578 6.01971 -20.4455
12 35.3831 6.85124 11.9045
204000 12
1 13.2574 22.8132 -20.7367
2 2.6813 -7.74282 -20.4305
3 -20.1646 19.4095 -20.6155
4 -2.65743 -14.0182 11.1838
5 -0.44848 23.4355 11.4948
6 -19.4079 19.9019 42.5132
7 15.9904 -16.0831 -20.6126
8 -24.6208 -34.8412 -20.749
9 -32.2273 23.3552 -20.8078
10 -19.0698 -14.8196 11.4472
11 -2.69316 6.56392 -20.4795
12 35.7777 6.86132 11.9603
210000 12
1 14.0581 24.2941 -20.6045
2 2.17216 -6.36781 -20.1216
3 -20.2137 18.9615 -20.5632
4 -2.1463 -13.5361 11.2979
5 -0.43258 22.0518 11.759
6 -20.2641 19.6232 42.5572
7 16.1265 -15.5407 -20.6102
8 -24.5498 -35.1134 -20.5751
9 -31.4227 24.7149 -20.6206
10 -19.6376 -14.5912 11.4379
11 -3.2385 7.92711 -20.0835
12 34.9411 7.20198 12.1127
216000 12
1 14.5529 24.6995 -20.335
2 2.09455 -6.91867 -20.559
3 -20.8158 19.3591 -20.3897
4 -2.47402 -13.5913 11.4874
5 0.042 21.2836 11.7064
6 -21.2304 20.1687 42.7525
7 16.081 -15.6127 -20.4103
8 -24.4881 -35.4786 -20.9591
9 -30.9531 25.1537 -20.3446
10 -20.824 -14.9631 11.7367
11 -3.32803 7.99092 -20.1355
12 34.807 7.51284 11.6048
222000 12
1 14.4697 24.427 -20.417
2 1.96054 -7.38211 -20.6105
3 -21.3199 19.3882 -20.7358
4 -3.38093 -13.974 11.4502
5 0.416206 22.1923 11.6628
6 -21.0545 19.9655 42.3688
7 16.4216 -15.961 -20.4369
8 -24.1901 -34.6019 -20.7984
9 -31.1569 24.9627 -20.428
10 -21.5097 -15.1895 11.4882
11 -3.39747 8.9763 -20.5586
12 35.3882 8.16162 11.9233
228000 12
1 14.4793 23.8406 -20.5113
2 3.1348 -7.65603 -20.3509
3 -21.8978 19.2435 -21.071
4 -3.51387 -14.5812 11.5121
5 0.10799 23.3737 11.614
6 -21.2048 19.6402 42.1383
7 16.5927 -16.0109 -20.5274
8 -23.7653 -34.0524 -20.6185
9 -31.3528 24.4918 -20.5238
10 -21.7696 -15.3796 11.673
11 -3.49303 8.90095 -20.3621
12 35.1902 7.99855 11.4463
234000 12
1 14.3645 24.0467 -20.4637
2 3.50627 -8.90777 -20.5046
3 -21.8827 19.277 -20.8791
4 -3.76848 -14.6635 11.8502
5 -0.0832839 23.3693 11.5028
6 -21.2383 19.8186 42.1405
7 15.9426 -15.3106 -20.7589
8 -23.6747 -34.1692 -20.2779
9 -31.4869 24.6898 -20.3743
10 -22.1673 -15.9037 11.7169
11 -3.00431 8.14208 -20.4129
12 35.0168 7.2742 11.4346
240000 12
1 14.7958 24.2913 -20.6211
2 3.61177 -10.7885 -20.6811
3 -21.1851 18.9293 -20.5322
4 -3.60195 -14.5186 11.45
5 -0.351379 23.3292 11.7593
6 -20.6121 19.4001 42.5042
7 15.5404 -14.5369 -20.6644
8 -23.6768 -34.2129 -20.5925
9 -31.1693 25.0359 -20.6726
